name	volume	census_id	nesting_level	transcription_id
Wien, UB, Hs-III-160898 (Diaskeué)	vol. 1	10165753	2	10006614
Wien, UB, Hs-III-160898 (Diaskeué)	vol. 2	10168089	2	10006614
Wien, UB, Hs-III-160898 (Diaskeué)	vol. 3	10179987	2	10006614
Wien, UB, Hs-III-160898 (Diaskeué)	vol. 4	10200525	2	10006614
Wien, UB, Hs-III-160898 (Diaskeué)	vol. 5			
Wien, UB, Hs-III-160898 (Diaskeué)	vol. 6			
Gotha, Forschungsbibl., Chart-A-2175 (Magnum ac Novum Opus)	vol. 1	10163387	1	10006614
Gotha, Forschungsbibl., Chart-A-2175 (Magnum ac Novum Opus)	vol. 2	10163388	1	10006614
Gotha, Forschungsbibl., Chart-A-2175 (Magnum ac Novum Opus)	vol. 3	10163389	1	10006614
Gotha, Forschungsbibl., Chart-A-2175 (Magnum ac Novum Opus)	vol. 4	10163556	1	10006614
Gotha, Forschungsbibl., Chart-A-2175 (Magnum ac Novum Opus)	vol. 5	10163391	1	10006614
Gotha, Forschungsbibl., Chart-A-2175 (Magnum ac Novum Opus)	vol. 6	10163392	1	10006614
Gotha, Forschungsbibl., Chart-A-2175 (Magnum ac Novum Opus)	vol. 7	10163393	1	10006614
Gotha, Forschungsbibl., Chart-A-2175 (Magnum ac Novum Opus)	vol. 8	10163394	1	10006614
Gotha, Forschungsbibl., Chart-A-2175 (Magnum ac Novum Opus)	vol. 9	10163395	1	10006614
Gotha, Forschungsbibl., Chart-A-2175 (Magnum ac Novum Opus)	vol. 10	10163396	1	10006614
Gotha, Forschungsbibl., Chart-A-2175 (Magnum ac Novum Opus)	vol. 11	10163397	1	10006614
Gotha, Forschungsbibl., Chart-A-2175 (Magnum ac Novum Opus)	vol. 12	10163398	1	10006614
Gotha, Forschungsbibl., Chart-A-2175 (Magnum ac Novum Opus)	vol. 13	10163400	1	10006614
Gotha, Forschungsbibl., Chart-A-2175 (Magnum ac Novum Opus)	vol. 14	10163399	1	10006614
Gotha, Forschungsbibl., Chart-A-2175 (Magnum ac Novum Opus)	vol. 15			
Gotha, Forschungsbibl., Chart-A-2175 (Magnum ac Novum Opus)	vol. 16			
Gotha, Forschungsbibl., Chart-A-2175 (Magnum ac Novum Opus)	vol. 17			
Gotha, Forschungsbibl., Chart-A-2175 (Magnum ac Novum Opus)	vol. 18			
Gotha, Forschungsbibl., Chart-A-2175 (Magnum ac Novum Opus)	vol. 19			
Gotha, Forschungsbibl., Chart-A-2175 (Magnum ac Novum Opus)	vol. 20			
Gotha, Forschungsbibl., Chart-A-2175 (Magnum ac Novum Opus)	vol. 21			
Gotha, Forschungsbibl., Chart-A-2175 (Magnum ac Novum Opus)	vol. 22			
Gotha, Forschungsbibl., Chart-A-2175 (Magnum ac Novum Opus)	vol. 23			
Gotha, Forschungsbibl., Chart-A-2175 (Magnum ac Novum Opus)	vol. 24			
Gotha, Forschungsbibl., Chart-A-2175 (Magnum ac Novum Opus)	vol. 25			
Gotha, Forschungsbibl., Chart-A-2175 (Magnum ac Novum Opus)	vol. 26			
Gotha, Forschungsbibl., Chart-A-2175 (Magnum ac Novum Opus)	vol. 27			
Gotha, Forschungsbibl., Chart-A-2175 (Magnum ac Novum Opus)	vol. 28			
Gotha, Forschungsbibl., Chart-A-2175 (Magnum ac Novum Opus)	vol. 29			
Gotha, Forschungsbibl., Chart-A-2175 (Magnum ac Novum Opus)	vol. 30			
UBW, III-160898,	vol. 2	10168089	2	1000595
